learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
26000.0,0.453125,-1.1722376156184408E-13,26000.0,56.89999999999999,13.79999999999999,56.89999999999999,-42999.99999999996,26000.0,-1.0,10.0
27000.0,0.46875,-1.2126596023639043E-13,27000.0,62.0,24.0,62.0,24.0,27000.0,-1.0,9.0
28000.0,0.5,-1.2935035758548313E-13,28000.0,63.800000000000004,27.6,63.800000000000004,27.6,28000.0,-1.0,11.0
29000.0,0.515625,-1.3339255626002948E-13,29000.0,60.0,19.999999999999996,60.0,19.999999999999996,29000.0,-1.0,17.0
30000.0,0.546875,-1.4147695360912217E-13,30000.0,63.2,26.400000000000002,63.2,26.400000000000002,30000.0,-1.0,20.0
31000.0,0.59375,-1.5360354963276122E-13,31000.0,66.4,32.800000000000004,66.4,32.800000000000004,31000.0,-1.0,25.0
32000.0,0.640625,-1.6573014565640026E-13,32000.0,63.6,27.200000000000003,63.6,27.200000000000003,32000.0,-1.0,28.0
33000.0,0.6875,-1.778567416800393E-13,33000.0,62.1,24.2,62.1,24.2,33000.0,-1.0,29.0
34000.0,0.71875,-1.85941139029132E-13,34000.0,61.4,22.799999999999997,61.4,22.799999999999997,34000.0,-1.0,20.0
35000.0,0.75,-1.940255363782247E-13,35000.0,62.7,25.4,62.7,25.4,35000.0,-1.0,20.0
36000.0,0.78125,-2.021099337273174E-13,36000.0,65.2,30.400000000000006,65.2,30.400000000000006,36000.0,-1.0,11.0
37000.0,0.8125,-2.101943310764101E-13,37000.0,68.5,37.000000000000014,68.5,37.000000000000014,37000.0,-1.0,13.0
38000.0,0.828125,-2.1423652975095645E-13,38000.0,64.7,29.400000000000006,64.7,29.400000000000006,38000.0,-1.0,17.0
39000.0,0.859375,-2.2232092710004914E-13,39000.0,66.2,32.400000000000006,66.2,32.400000000000006,39000.0,-1.0,22.0
40000.0,0.90625,-2.3444752312368816E-13,40000.0,65.7,31.400000000000006,65.7,31.400000000000006,40000.0,-1.0,28.0
41000.0,0.953125,-2.465741191473272E-13,41000.0,67.7,35.400000000000006,67.7,35.400000000000006,41000.0,-1.0,33.0
42000.0,1.015625,-2.627429138455126E-13,42000.0,66.5,33.00000000000001,66.5,33.00000000000001,42000.0,-1.0,36.0
43000.0,1.046875,-2.7082731119460527E-13,43000.0,64.0,28.000000000000004,64.0,28.000000000000004,43000.0,-1.0,13.0
44000.0,1.078125,-2.7891170854369797E-13,44000.0,65.10000000000001,30.200000000000003,65.10000000000001,30.200000000000003,44000.0,-1.0,19.0
45000.0,1.109375,-2.8699610589279067E-13,45000.0,67.10000000000001,34.20000000000001,67.10000000000001,34.20000000000001,45000.0,-1.0,14.0
46000.0,1.125,-2.91038304567337E-13,46000.0,62.7,25.4,62.7,25.4,46000.0,-1.0,9.0
47000.0,1.140625,-2.950805032418833E-13,47000.0,65.5,31.000000000000007,65.5,31.000000000000007,47000.0,-1.0,15.0
48000.0,1.171875,-3.03164900590976E-13,48000.0,64.8,29.600000000000005,64.8,29.600000000000005,48000.0,-1.0,18.0
