learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
28000.0,3.875,-1.0024652712874942E-12,28000.0,72.5,69.39925734779469,69.68026460859977,68.67881548974943,28000.0,-1.0,23.0
29000.0,4.015625,-1.0388450593584114E-12,29000.0,72.0,68.8730833323143,68.78483835005575,68.25396825396825,29000.0,-1.0,28.0
30000.0,4.15625,-1.0752248474293286E-12,30000.0,71.6,68.42665812852351,68.75687568756875,67.80045351473922,30000.0,-1.0,32.0
31000.0,4.34375,-1.1237312315238846E-12,31000.0,72.0,68.85764272375505,68.92341842397336,68.21793416572078,31000.0,-1.0,34.0
32000.0,4.53125,-1.1722376156184407E-12,32000.0,73.8,70.83925081360715,71.58351409978309,70.29478458049887,32000.0,-1.0,38.0
33000.0,4.703125,-1.2167018010384506E-12,33000.0,74.5,71.64997164997165,72.10065645514223,71.1864406779661,33000.0,-1.0,15.0
34000.0,4.78125,-1.2369127944111823E-12,34000.0,72.6,69.52267390707084,69.6230598669623,69.45373467112597,34000.0,-1.0,16.0
35000.0,4.859375,-1.257123787783914E-12,35000.0,73.6,70.61220127970506,70.4367301231803,70.3037120359955,35000.0,-1.0,20.0
36000.0,4.953125,-1.281376979831192E-12,36000.0,75.8,73.09682253463507,73.25966850828729,72.77840269966255,36000.0,-1.0,22.0
37000.0,5.0625,-1.3096723705530164E-12,37000.0,73.5,70.52008138682436,70.84708470847085,70.02262443438913,37000.0,-1.0,26.0
38000.0,5.203125,-1.3460521586239336E-12,38000.0,74.2,71.31395431580445,71.20535714285714,70.97862767154106,38000.0,-1.0,32.0
39000.0,5.359375,-1.3864741453693971E-12,39000.0,71.5,68.3145332897519,68.29810901001112,67.65039727582293,39000.0,-1.0,39.0
40000.0,5.546875,-1.4349805294639532E-12,40000.0,72.8,69.75236976838322,69.67670011148272,69.26553672316385,40000.0,-1.0,37.0
41000.0,5.734375,-1.4834869135585093E-12,41000.0,75.2,72.40446157543819,72.50554323725056,71.68949771689498,41000.0,-1.0,30.0
42000.0,5.90625,-1.5279510989785192E-12,42000.0,73.2,70.18992797753121,70.7103825136612,69.68325791855203,42000.0,-1.0,33.0
43000.0,6.0625,-1.5683730857239827E-12,43000.0,73.5,70.54082596853982,70.48997772828508,70.05649717514125,43000.0,-1.0,36.0
44000.0,6.21875,-1.6087950724694463E-12,44000.0,76.4,73.76885918990234,73.69007803790413,73.4533183352081,44000.0,-1.0,31.0
45000.0,6.359375,-1.6451748605403634E-12,45000.0,72.7,69.66191369981297,69.39461883408072,69.66666666666667,45000.0,-1.0,36.0
46000.0,6.515625,-1.685596847285827E-12,46000.0,74.6,71.76733169050327,72.24043715846994,70.9049255441008,46000.0,-1.0,30.0
47000.0,6.671875,-1.7260188340312905E-12,47000.0,74.9,72.09836936645513,72.3568281938326,71.57417893544734,47000.0,-1.0,33.0
48000.0,6.84375,-1.7704830194513004E-12,48000.0,75.3,72.53724705359129,72.82728272827282,72.27833894500561,48000.0,-1.0,38.0
49000.0,7.03125,-1.8189894035458565E-12,49000.0,69.69999999999999,66.30840155048068,66.10738255033557,65.64625850340136,49000.0,-1.0,33.0
50000.0,7.1875,-1.85941139029132E-12,50000.0,69.5,66.08130034285689,66.0734149054505,65.4586636466591,50000.0,-1.0,30.0
51000.0,7.328125,-1.895791178362237E-12,51000.0,66.3,62.52207527613557,62.555555555555564,61.87782805429865,51000.0,-1.0,28.0
52000.0,7.4375,-1.9240865690840614E-12,52000.0,73.9,70.96793569787076,71.09634551495017,70.27334851936219,52000.0,-1.0,25.0
53000.0,7.53125,-1.9483397611313396E-12,53000.0,72.7,69.61673683753635,69.90077177508269,68.90660592255125,53000.0,-1.0,22.0
54000.0,7.640625,-1.976635151853164E-12,54000.0,73.3,70.32255052669137,70.23411371237458,69.76217440543601,54000.0,-1.0,26.0
55000.0,7.765625,-2.0089727412495346E-12,55000.0,72.0,68.87024562487979,69.16299559471365,68.25396825396825,55000.0,-1.0,29.0
56000.0,7.921875,-2.049394727994998E-12,56000.0,72.2,69.0708688749473,69.17960088691795,68.44494892167991,56000.0,-1.0,28.0
57000.0,8.0625,-2.085774516065915E-12,57000.0,73.3,70.28288026783251,71.04121475054231,69.72789115646259,57000.0,-1.0,23.0
