learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.3125,-8.084397349092696E-13,1000.0,0.0,70.42999999999999,0.7689097620801963,18.93499057871217,3.1668340386563667,9.294478527607339,2.358618902086491,9.294478527607339,2.358618902086491
2000.0,0.625,-1.6168794698185384E-12,2000.0,0.0,77.08,0.4962078417580941,30.113647567527988,2.4766271339861423,27.468354430379737,1.5702779802471232,16.043956043956058,1.8176111419710292
3000.0,0.9375,-2.4253192047278085E-12,3000.0,0.0,78.12,0.9496198069637063,28.740842019943642,4.9365945714101995,25.578231292517028,3.2299993434139527,18.35820895522389,3.54335748867053
4000.0,1.296875,-3.3550248998734684E-12,4000.0,0.0,76.13,1.0677598564804314,34.28382789908201,4.736131562794614,27.22560975609756,3.2553654160988805,23.738019169329068,3.4113733433879636
5000.0,1.640625,-4.244308608273666E-12,5000.0,0.0,76.8,1.0099504938362094,37.82008235522527,3.856573473288508,32.947976878612714,2.918932063110429,24.18300653594773,3.3004918099222498
6000.0,1.953125,-5.052748343182933E-12,6000.0,0.0,77.12,1.0664583129843024,39.85644743948266,3.6037387020183034,27.82334384858044,3.3642218075214765,24.736842105263175,3.508086555869431
7000.0,2.296875,-5.942032051583131E-12,7000.0,0.0,80.12,0.6528569691917403,46.84473135412897,2.4323864348823476,30.731707317073194,2.274762958856231,30.48951048951051,2.2827166754955903
8000.0,2.609375,-6.750471786492398E-12,8000.0,0.0,73.75,0.7472170590486643,32.436260215450595,2.0491830234862256,20.933734939759024,2.2506537923152523,17.968749999999982,2.3350533095270753
9000.0,2.921875,-7.558911521401664E-12,9000.0,0.0,76.37,0.6129165250396458,35.61082285472621,2.3007841100125366,30.294985250737458,1.8080133481995277,25.924764890282123,1.9213684170521639
10000.0,3.25,-8.407773243056401E-12,10000.0,0.0,78.32000000000001,0.74057035077327,39.37162319026072,2.7779819115685442,27.97342192691032,2.4603666138646862,24.72222222222224,2.571424829073855
11000.0,3.59375,-9.297056951456591E-12,11000.0,0.0,80.03,0.7454305243727707,40.080239526056346,2.5523856514990437,30.174825174825195,2.606400434869828,24.64150943396228,2.812945374991587
12000.0,3.90625,-1.0105496686365858E-11,12000.0,0.0,79.39000000000001,0.6190494505467441,36.05955017761541,2.2086528599441997,32.203947368421076,2.0363468767984942,19.80544747081714,2.4087527258628096
13000.0,4.234375,-1.0954358408020594E-11,13000.0,0.0,77.09000000000002,0.9267026371915559,42.256228614322396,2.3984979397074047,32.81524926686217,2.7176030416174584,31.40718562874251,2.7745587939866856
14000.0,4.578125,-1.1843642116420784E-11,14000.0,0.0,73.85,1.1530153704285302,41.21453146204201,2.6350448880149595,20.03058103975534,3.526040888160651,33.629441624365484,2.9264349503262226
15000.0,4.9375,-1.2773347811566444E-11,15000.0,0.0,79.55,0.8488554385497907,47.074388239557216,1.946081626629406,31.37583892617452,2.8485081830529873,34.03225806451615,2.738243350160615
16000.0,5.25,-1.358178754647571E-11,16000.0,0.0,77.89000000000001,0.8211780156174028,52.555265738400735,1.6275160383834588,37.365439093484426,2.326283330360913,44.44723618090453,2.063261345772368
17000.0,5.59375,-1.4471071254875901E-11,17000.0,0.0,75.93,2.030353007073727,45.974678735948764,2.7163100230798616,26.838905775075983,6.171285735786416,27.280966767371595,6.133997000222752
18000.0,5.890625,-1.52390890030397E-11,18000.0,0.0,76.05999999999999,0.9720539536923275,49.48467424845516,1.4749593784817654,28.749999999999993,2.8930177193224105,35.645161290322584,2.6130482626137916
18159.0,5.9375,-1.5360354963276076E-11,18159.0,0.0,75.78000000000003,0.6528569691917474,48.10607409453268,1.1912741122572406,27.701492537313428,1.9488267737066824,33.82513661202185,1.7837622109063898
