learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.734375,-1.8998333770367835E-12,1000.0,0.0,46.82,0.7612854625930746,27.347125360327762,1.1014573551039317,31.291989664082685,0.9835729490866617,22.59097525473071,1.1081302221151028
2000.0,1.40625,-3.637978807091714E-12,2000.0,0.0,44.320000000000014,1.0042133460796296,22.613364892704745,1.4742325506613634,28.154838709677417,1.2957591562317798,18.11764705882353,1.4767843324700445
3000.0,2.03125,-5.254858276910255E-12,3000.0,0.0,41.28,2.829526854833192,21.077168610048933,3.856783014971949,23.342036553524807,3.693899288293985,16.353276353276357,4.03066503537492
4000.0,2.75,-7.114269667201575E-12,4000.0,0.0,57.599999999999994,0.7408703590297633,43.215577606716934,0.9801268118563992,44.06332453825857,0.9774015290630107,39.341917024320445,1.0599003705719072
5000.0,3.421875,-8.852415097256502E-12,5000.0,0.0,64.5,2.2987919532755563,53.70493754260887,3.0464405627010596,54.661558109833976,2.9358773349623952,51.236263736263744,3.157681254499393
6000.0,4.09375,-1.0590560527311429E-11,6000.0,0.0,58.199999999999996,2.249444375840396,44.67216926342705,2.956825685701578,46.34146341463414,2.887605103774581,38.888888888888886,3.2886613681877166
7000.0,4.765625,-1.2328705957366356E-11,7000.0,0.0,44.230000000000004,2.0848927497062744,24.8056708969937,3.071751391983012,27.57142857142857,2.7076529216964587,20.893617021276597,2.957294680434431
8000.0,5.4375,-1.4066851387421282E-11,8000.0,0.0,46.089999999999996,3.2285015444044984,26.647507934788106,4.5290547557722896,30.795892169448013,4.1444179003908825,22.207792207792206,4.658732387308076
9000.0,6.109375,-1.580499681747622E-11,9000.0,0.0,47.970000000000006,3.354615394414752,29.815218257297545,4.741589202983057,33.63520408163265,4.278846166345348,26.407355021216407,4.744859115155238
10000.0,6.828125,-1.766440820776754E-11,10000.0,0.0,52.15,3.730430419014823,34.78002895451813,5.183625153574858,37.61408083441982,4.86366417081463,30.043859649122812,5.453845641834537
11000.0,7.484375,-1.9362131651077014E-11,11000.0,0.0,51.37,3.883311874046577,33.97661862558941,5.399439669668929,37.65384615384616,4.978604966726377,30.52857142857143,5.547588391495105
12000.0,8.15625,-2.1100277081131957E-11,12000.0,0.0,49.51,7.08636405750901,31.985144639638747,9.956051749243851,34.851612903225806,9.143695558076145,27.664756446991408,10.152384036545863
13000.0,8.875,-2.2959688471423277E-11,13000.0,0.0,50.96000000000001,4.308183427437188,33.785598804942936,5.901112819748089,37.208706786171575,5.516239983914453,31.12359550561798,6.050819420557849
14000.0,9.5625,-2.4738255888223657E-11,14000.0,0.0,48.35,6.8637938974496215,30.85347311843136,9.756206286020918,32.306684141546526,8.995798030733448,26.21428571428572,9.80541985349946
15000.0,10.265625,-2.6557245291769507E-11,15000.0,0.0,58.81,7.311854909817493,44.73144151345578,10.239797243886263,45.58784676354029,9.65898931283685,40.90387374461979,10.49046615468794
16000.0,10.96875,-2.8376234695315357E-11,16000.0,0.0,57.02,3.6162595777036417,42.78298761729907,5.247775159269247,45.38754764930114,4.59499311016981,39.12181303116148,5.122180704962665
17000.0,11.65625,-3.0154802112115757E-11,17000.0,0.0,56.519999999999996,2.4746716953971886,41.404107675435704,3.5927163689976944,44.752223634053365,3.1444367158795243,36.4327485380117,3.6179410751420873
